Printed subjects user is enrolled in,2021.05.07 19:39:16
Printed user timetable,2021.05.07 19:40:00
Printed user timetable,2021.05.07.19.40.01
Printed subjects user is enrolled in,2021.05.07 19:40:02
User logged out,2021.05.07 19:42:37
